question,correct_answer,incorrect_answer_1,incorrect_answer_2,incorrect_answer_3
À quel jeu (ou franchise) appartient cet ennemi ?,Minecraft,Terraria,Cube World,Starcube
À quel jeu (ou franchise) appartient cet ennemi ?,Mario,Super Meat Boy,Overcooked,Goompa Loompa factory
À quel jeu (ou franchise) appartient cet ennemi ?,Pokémon,Yu-Gi-Oh,Duel Masters,"A ""Short"" love story"
À quel jeu (ou franchise) appartient cet ennemi ?,Portal,Counter-Strike,Half-Life,AI Dating Simulator
À quel jeu (ou franchise) appartient cet ennemi ?,Don’t Starve,Limbo,Spider-Man,Webbed
À quel jeu (ou franchise) appartient cet ennemi ?,Zelda,Portal Knights,Supraland,Le Roi Lion - CD-rom interactif
À quel jeu (ou franchise) appartient cet ennemi ?,Cuphead,the Binding of Isaac,Rogue Legacy,the Devil Within
À quel jeu (ou franchise) appartient cet ennemi ?,Outer Wilds,Subnautica,Death Stranding,Aquarist
À quel jeu (ou franchise) appartient cet ennemi ?,Bioshock,Half-Life,Doom,House Flipper
À quel jeu (ou franchise) appartient cet ennemi ?,The Last of Us,the Witcher,Assassin's Creed,Luigi's Mansion
À quel jeu (ou franchise) appartient cet ennemi ?,Metroid,Dead Cells,Blasphemous,Peppervania
À quel jeu (ou franchise) appartient cet ennemi ?,Plants VS Zombies,Resident Evil,Monkey Island,Zombicide
À quel jeu (ou franchise) appartient cet ennemi ?,Broforce,Worms,Streets of Rage,Tortues Ninja
À quel jeu (ou franchise) appartient cet ennemi ?,Hadès,Rogue Legacy,Phoenotopia,Ori and the Blind Forest
À quel jeu (ou franchise) appartient cet ennemi ?,Hollow Knight,Ender lilies,Dark Souls,Cyberpunk
À quel jeu (ou franchise) appartient cet ennemi ?,Stardew Valley,Project Zomboid,Terraria,an Introvert Life
À quel jeu (ou franchise) appartient cet ennemi ?,Subnautica,Raft,Outer Wilds,Dune
À quel jeu (ou franchise) appartient cet ennemi ?,Slay the Spire,Yu-Gi-Oh,Peglin,Cuphead
À quel jeu (ou franchise) appartient cet ennemi ?,Baba is you,Wonder Boy,Call of Duty,Paint
À quel jeu (ou franchise) appartient cet ennemi ?,Papyrus,Golden Sun,Nobody Saves the world,Le retour de la Momie : la revanche
