text,answer,false_proposition1,false_proposition2,false_proposition3
Laquelle de ces entreprises n'est PAS liée au monde de l'informatique ?,Tacos World,Yahoo,Google,Microsoft
"Parmi ces inventions, laquelle est la plus ancienne ?",Le téléphone,Internet,Le clavier ergonomique Logitech K350,Twitch
"Parmi ces 4, lequel n'est pas une franchise de jeu vidéo ?",Puissance 4,Zelda,Pokémon,Minecraft
Comment s'appelle une caméra reliée à un ordinateur ?,une webcam,une dashcam,une ordiméra,une belette
Quelle est la manière la plus adaptée (viable sur le long terme) d'éteindre un ordinateur ?,à partir du menu Démarrer (ou équivalent),Arrêter le disque dur avec un aimant,Débrancher la prise d'un coup sec,Maintenir le bouton POWER quelques secondes
Le premier abonnement internet pour particuliers est sorti en France en :,1994,2014,2004,1974
"Comment s'appelle le frère de Mario, le célèbre plombier moustachu à salopette créé par Nintendo en 1981 ?",Luigi,Roberto,Anthony,Yugi
Quelle réponse désigne le plus grand nombre d'octets ?,1 To (téraoctet),1 Mo (mégaoctet),1 Ko (kilooctet),1 Go (gigaoctet)
Apple est une entreprise basée :,aux Etats-Unis,en République Tchèque,au Canada,en France
Quelle est la fonction principale d'un disque dur ?,à stocker des données,à miner des Bitcoins,à rendre l'ordinateur plus résistant aux chocs,à afficher des images
Qu'est-ce que le C++ ?,un langage de programmation,une entreprise de Fast-Food en ligne,un modèle d'ordinateur,un jeu vidéo (auquel Antho a joué !)
"Parmi ces propositions, laquelle ne désigne PAS une technologie de communication sans fil ?",Windows,Wi-Fi,Bluetooth,AirPlay
Quelle est la première console sortie par Nintendo ?,la NES,la Xbox One X Series S,la Playstation,la Nintendo 64
Quel jeu vidéo est le plus vieux des 4 ?,Pong,Nobody Saves the World,Skyrim,League of Legends
Trouvez l'intrus !,Bulbizarre,Linux,Microsoft Windows,MacOS
Sur Steam il y a environ...,1 million de jeux,50 000 jeux,1000 jeux,100 millions de jeux
Quel navigateur internet est le plus utilisé ?,Google Chrome,Safari,Firefox,Samsung Internet
"Sous Windows, que fait le raccourci Ctrl+Maj+Echap ?",Il ouvre le gestionnaire des tâches,Rien,Il éteint l'ordinateur,Il fait une capture d'écran
Quel est le nom de la machine de chiffrement nazie déjouée par Alan Turing ?,Enigma,Flammenwerfer,Meca-Hitler,Verschlüsseler
"Aujourd'hui, quel pourcentage de la population mondiale a accès à Internet ?",75%,99%,25%,50%
